session_key,try_seq,terminal_key,merchant_key,category_id,category_title,amount,adjusted_fee,session_status,try_status,switch_response_code,psp_code,issuer_bank_code,payer_card_key,verify_type,init_time_ms,verify_time_ms,created_at,try_created_at,verified_at,settled_at,expire_in
933a6319-dc6c-47b6-8db7-e8776be725de,1,T5000,M1040,1,آموزش و آموزشگاه,49814611,1839414,InBank,Verified,,,,,Manual,228,,2024-11-21 15:29:34,,,,2024-11-21 15:59:34
7822c030-d1f4-4c17-bc3e-21363279df61,8,T5000,M1002,2,خرده‌فروشی آنلاین,14722546,539266,Verified,InBank,,,,,Manual,1166,,2024-08-25 04:59:15,,,,2024-08-25 05:29:15
bc2d4cc5-abfb-473c-b844-ab9e92310435,6,T5001,M1014,5,سلولتاهای فروشگاهی,486124,19596,InBank,Failed,,,,,Manual,1613,,2024-02-26 18:00:01,,,,2024-02-26 18:30:01
14304e07-29ca-4aa2-b373-56ceb4f6ab9d,4,T5000,M1006,7,صنعتی و ساختگی,6540526,245353,Failed,Verified,,,,,Automated,1148,,2024-09-23 08:27:01,,,,2024-09-23 08:57:01
bb750aa3-500d-4fbd-84d3-21210ce25e0b,9,T5000,M1024,5,سلولتاهای فروشگاهی,42237302,1661177,Paid,InBank,,,,,Automated,1404,,2024-01-26 09:18:11,,,,2024-01-26 09:48:11
5d14516c-3b24-456a-bedd-379ad83a6409,7,T5001,M1049,2,خرده‌فروشی آنلاین,15672331,643590,Failed,Verified,,,,,Manual,808,,2024-05-13 03:55:47,,,,2024-05-13 04:25:47
6a7fe666-2339-49b9-a036-1d90363f0dcb,9,T5002,M1013,5,سلولتاهای فروشگاهی,47148363,1959324,Verified,Verified,,,,,Automated,551,,2024-07-13 23:03:55,,,,2024-07-13 23:33:55
be17696e-881b-44bc-bb17-4d6b2d36964a,5,T5001,M1029,5,سلولتاهای فروشگاهی,42999656,1712123,InBank,Verified,,,,,Automated,519,,2024-10-10 05:45:33,,,,2024-10-10 06:15:33
bbcc1f99-adc0-400e-b0f8-8ecf29d02b70,5,T5001,M1020,5,سلولتاهای فروشگاهی,4491842,163848,Paid,InBank,,,,,Manual,1861,,2024-07-01 05:15:56,,,,2024-07-01 05:45:56
3016054f-04f4-4cdf-b424-600d48f3ee29,9,T5001,M1009,3,سفر و گردشگری,16600891,667603,Verified,Verified,,,,,Automated,791,,2024-07-31 23:44:54,,,,2024-08-01 00:14:54
31b3616d-7460-431b-a739-7fd07168aa87,2,T5002,M1008,8,خدمات دیجیتال,6150827,247819,Paid,Verified,,,,,Automated,914,,2024-10-16 02:36:54,,,,2024-10-16 03:06:54
6d34dced-1dee-4ee7-a2df-b5680bcdfd68,0,T5001,M1024,8,خدمات دیجیتال,35558262,1307118,Verified,Verified,PSP-798:9797,PSP868,BANK-44,2ca92425-2c4,Manual,284,1624,2024-09-05 07:16:57,2024-09-05 07:16:57,2024-09-05 07:36:57,,2024-09-05 07:46:57
4ac57446-60b4-4b6b-aade-2c2b2d50bc23,4,T5001,M1007,7,صنعتی و ساختگی,10663787,407101,Reversed,Reversed,,,,,Automated,1089,,2024-10-05 02:47:19,,,,2024-10-05 03:17:19
8e440570-7970-4a32-b91f-f62735244312,8,T5001,M1040,4,غذا و رستوران,10306869,387717,InBank,Paid,,,,,Automated,1050,,2024-08-06 14:45:16,,,,2024-08-06 15:15:16
5708ab34-9ee9-46d5-8282-18fac2c3ac91,1,T5001,M1007,5,سلولتاهای فروشگاهی,16119372,570714,Paid,InBank,,,,,Automated,191,,2024-06-26 09:16:35,,,,2024-06-26 09:46:35
b1fcd5e6-bb41-44bc-ad47-b9936eb726b8,9,T5002,M1008,8,خدمات دیجیتال,36946694,1335840,Verified,Verified,,,,,Automated,1154,,2024-03-18 07:21:08,,,,2024-03-18 07:51:08
7bcd68ff-cda2-4afe-8bc6-ffb51a9f0652,8,T5001,M1045,7,صنعتی و ساختگی,45126148,1784700,Verified,Verified,,,,,Manual,181,,2024-03-31 11:39:11,,,,2024-03-31 12:09:11
563c9102-cd85-47a8-8cfa-462381ff041d,0,T5002,M1001,4,غذا و رستوران,39539547,1444835,InBank,InBank,,,,,Automated,1904,,2024-03-24 13:31:48,,,,2024-03-24 14:01:48
1ddd7bcd-e404-46ef-81c9-edd07f74b1d9,2,T5000,M1021,4,غذا و رستوران,18738292,743588,InBank,Verified,,,,,Manual,1230,,2024-11-18 01:40:32,,,,2024-11-18 02:10:32
e76b949f-60d3-4ee0-88cb-b6b9844e21c0,5,T5001,M1015,7,صنعتی و ساختگی,12828193,457456,Verified,Verified,,,,,Automated,1543,,2024-06-19 11:08:09,,,,2024-06-19 11:38:09
e473a400-867a-4c7e-b4f6-461cd3c827a6,1,T5002,M1043,2,خرده‌فروشی آنلاین,4117647,155722,Failed,InBank,,,,,Automated,968,,2024-03-10 10:13:48,,,,2024-03-10 10:43:48
be7ed1c8-3369-4047-9974-1c14f8927cd2,7,T5000,M1027,5,سلولتاهای فروشگاهی,31096444,1142752,Paid,Verified,,,,,Automated,250,,2024-11-08 10:16:11,,,,2024-11-08 10:46:11
dd881634-4510-497b-aeab-ddc98f0ffafa,2,T5002,M1041,1,آموزش و آموزشگاه,6308758,261716,Verified,Verified,,,,,Manual,1820,,2024-06-24 16:41:59,,,,2024-06-24 17:11:59
95d15d2a-28f8-45b3-9ee7-b84e4622676e,7,T5000,M1003,7,صنعتی و ساختگی,194644,8155,Failed,Failed,,,,,Manual,1546,,2024-09-11 06:08:29,,,,2024-09-11 06:38:29
0c7e7313-e1cd-4d94-ac32-6d8006e7c455,8,T5000,M1009,5,سلولتاهای فروشگاهی,14659659,612494,Verified,InBank,,,,,Manual,152,,2024-04-24 11:10:41,,,,2024-04-24 11:40:41
e55f2dcc-3adf-4119-a014-10d8286b51c9,2,T5002,M1032,3,سفر و گردشگری,3867123,161357,InBank,InBank,,,,,Automated,1815,,2024-01-25 19:20:13,,,,2024-01-25 19:50:13
25647856-de55-48b0-a713-65b074486cea,6,T5000,M1025,4,غذا و رستوران,38900600,1523411,Verified,Verified,,,,,Manual,697,,2024-07-25 07:23:16,,,,2024-07-25 07:53:16
0d264a2b-b253-4759-be71-c42d7cb64462,4,T5002,M1013,6,عینی و سرویسی,16067943,592253,InBank,Verified,,,,,Automated,1966,,2024-12-05 02:12:02,,,,2024-12-05 02:42:02
e39b4a45-db64-4c1d-afbb-228f82f2734f,2,T5001,M1000,2,خرده‌فروشی آنلاین,4966443,192516,Verified,Paid,,,,,Automated,1850,,2024-11-17 12:22:12,,,,2024-11-17 12:52:12
6f2fa53b-7604-49b8-a31f-1dd562001c84,9,T5001,M1023,3,سفر و گردشگری,29456068,1202874,Verified,Reversed,,,,,Automated,1133,,2024-10-21 14:11:43,,,,2024-10-21 14:41:43
687f19f2-849d-4f4d-ad9a-54de7e0917b8,4,T5002,M1042,5,سلولتاهای فروشگاهی,44569263,1592241,Paid,InBank,,,,,Automated,1183,,2024-02-09 01:38:06,,,,2024-02-09 02:08:06
1b1beba1-91b1-4de6-af1b-304324adf5c9,4,T5001,M1017,4,غذا و رستوران,48208138,1802992,Verified,Verified,,,,,Automated,1909,,2024-04-01 15:49:19,,,,2024-04-01 16:19:19
7549c8a1-ae0a-4457-b704-7cd2fb60e12d,2,T5002,M1005,7,صنعتی و ساختگی,18617695,657364,Failed,Verified,,,,,Manual,1568,,2024-04-05 14:43:41,,,,2024-04-05 15:13:41
e4d91d64-422d-4c86-8258-a6d675566bb3,2,T5002,M1035,7,صنعتی و ساختگی,37691822,1321765,InBank,Verified,,,,,Automated,1242,,2024-10-31 15:03:08,,,,2024-10-31 15:33:08
c714ca99-5046-47a4-bfdb-46ccb4743013,0,T5000,M1027,1,آموزش و آموزشگاه,20736867,778722,Paid,Paid,PSP-798:5088,PSP782,BANK-23,29a31132-e21,Manual,480,774,2024-11-24 02:34:47,2024-11-24 02:34:47,2024-11-24 02:58:47,2024-11-24 03:07:47,2024-11-24 03:04:47
ae3f0c77-daa3-4975-965b-eaefbb402371,2,T5002,M1039,3,سفر و گردشگری,15937173,654256,Reversed,Paid,,,,,Manual,1558,,2024-01-10 01:07:42,,,,2024-01-10 01:37:42
3f948eac-2007-49cb-9631-6db5c52cff87,6,T5002,M1026,4,غذا و رستوران,17955028,648434,Verified,Paid,,,,,Automated,505,,2024-11-09 09:16:36,,,,2024-11-09 09:46:36
3ee5057a-6334-4239-bc16-7901f90ce3aa,6,T5001,M1029,5,سلولتاهای فروشگاهی,15323674,560240,Verified,Failed,,,,,Manual,1633,,2024-11-11 11:43:54,,,,2024-11-11 12:13:54
b8dda1b5-0bf7-444e-8892-b7d57b60179e,0,T5002,M1022,7,صنعتی و ساختگی,45651688,1911347,Verified,Verified,PSP-282:5349,PSP139,BANK-23,01e233ae-4a2,Manual,584,1271,2024-02-12 02:23:37,2024-02-12 02:23:37,2024-02-12 02:36:37,,2024-02-12 02:53:37
28a3d6c4-f6cf-4fe7-b0f3-7cec8056f4a9,9,T5001,M1046,7,صنعتی و ساختگی,40731987,1706248,InBank,InBank,,,,,Automated,943,,2024-01-17 04:49:33,,,,2024-01-17 05:19:33
1d897c0a-a901-4f4b-a6f3-974199c47ea4,5,T5002,M1033,4,غذا و رستوران,24492489,931181,Paid,Verified,,,,,Manual,305,,2024-08-30 03:16:27,,,,2024-08-30 03:46:27
e3639eab-21a7-4116-a783-fbc68a981cfe,2,T5001,M1032,7,صنعتی و ساختگی,21939764,829691,Failed,InBank,,,,,Automated,826,,2024-08-30 16:46:54,,,,2024-08-30 17:16:54
e91088d0-7354-4e69-ba27-2556783aed6b,4,T5002,M1039,5,سلولتاهای فروشگاهی,27301243,1060259,NoAttempt,InBank,,,,,Manual,1292,,2024-10-13 19:14:50,,,,2024-10-13 19:44:50
3080566d-732c-4e85-9026-65d8f3004cca,2,T5001,M1029,8,خدمات دیجیتال,45390576,1656570,Verified,Verified,,,,,Manual,1409,,2024-04-13 13:58:08,,,,2024-04-13 14:28:08
012c4a25-e8f0-4e4c-926f-5ffe8dbc0d52,0,T5000,M1005,5,سلولتاهای فروشگاهی,15125379,614785,InBank,InBank,,,,,Automated,1023,,2024-03-30 08:49:14,,,,2024-03-30 09:19:14
6919f5f8-971f-43c3-b3c3-c844f67037bd,3,T5001,M1029,4,غذا و رستوران,48257378,1924237,Verified,InBank,,,,,Automated,1878,,2024-09-07 23:34:20,,,,2024-09-08 00:04:20
